Year,Month ,Count
2019,January,41
2019,February,33
2019,March,31
2019,April,31
2019,May,38
2019,June,36
2019,July,47
2019,August,39
2019,September,43
2019,October,44
2019,November,48
2019,December,37
2020,January,50
2020,February,37
2020,March,60
2020,April,59
2020,May,55
2020,June,63
2020,July,61
2020,August,43
2020,September,53
2020,October,48
2020,November,58
2020,December,34
2021,January,65
2021,February,44
2021,March,53
2021,April,76
2021,May,69
2021,June,59
2021,July,54
2021,August,63
2021,September,60
2021,October,79
2021,November,62
2021,December,41
2022,January,50
2022,February,67
2022,March,65
2022,April,59
2022,May,50
2022,June,47
2022,July,61
2022,August,43
2022,September,66
2022,October,66
2022,November,66
2022,December,71
2023,January,58
2023,February,47
2023,March,58
2023,April,68
2023,May,50
2023,June,65
2023,July,52
2023,August,68
2023,September,65
2023,October,63
2023,November,53
2023,December,54
2024,January,60
2024,February,45
2024,March,37
2024,April,45
2024,May,46
2024,June,47
2024,July,47
2024,August,42
2024,September,31
2024,October,44
2024,November,38
2024,December,33
