Year,Week,Count
2016,1/1/2016,3
2016,1/8/2016,5
2016,1/15/2016,5
2016,1/22/2016,5
2016,1/29/2016,9
2016,2/5/2016,9
2016,2/12/2016,7
2016,2/19/2016,3
2016,2/26/2016,6
2016,3/4/2016,7
2016,3/11/2016,3
2016,3/18/2016,3
2016,3/25/2016,7
2016,4/1/2016,1
2016,4/8/2016,3
2016,4/15/2016,4
2016,4/22/2016,6
2016,4/29/2016,5
2016,5/6/2016,5
2016,5/13/2016,8
2016,5/20/2016,3
2016,5/27/2016,4
2016,6/3/2016,4
2016,6/10/2016,5
2016,6/17/2016,2
2016,6/24/2016,5
2016,7/1/2016,1
2016,7/8/2016,6
2016,7/15/2016,11
2016,7/22/2016,7
2016,7/29/2016,5
2016,8/5/2016,6
2016,8/12/2016,9
2016,8/19/2016,4
2016,8/26/2016,8
2016,9/2/2016,9
2016,9/9/2016,8
2016,9/16/2016,7
2016,9/23/2016,9
2016,9/30/2016,2
2016,10/7/2016,8
2016,10/14/2016,4
2016,10/21/2016,8
2016,10/28/2016,9
2016,11/4/2016,7
2016,11/11/2016,11
2016,11/18/2016,5
2016,11/25/2016,12
2016,12/2/2016,5
2016,12/9/2016,5
2016,12/16/2016,4
2016,12/23/2016,8
2017,1/1/2017,8
2017,1/8/2017,5
2017,1/15/2017,2
2017,1/22/2017,5
2017,1/29/2017,6
2017,2/5/2017,6
2017,2/12/2017,9
2017,2/19/2017,7
2017,2/26/2017,6
2017,3/5/2017,7
2017,3/12/2017,4
2017,3/19/2017,5
2017,3/26/2017,4
2017,4/2/2017,9
2017,4/9/2017,7
2017,4/16/2017,12
2017,4/23/2017,9
2017,4/30/2017,7
2017,5/7/2017,5
2017,5/14/2017,8
2017,5/21/2017,4
2017,5/28/2017,3
2017,6/4/2017,8
2017,6/11/2017,2
2017,6/18/2017,7
2017,6/25/2017,6
2017,7/2/2017,7
2017,7/9/2017,6
2017,7/16/2017,5
2017,7/23/2017,5
2017,7/30/2017,7
2017,8/6/2017,6
2017,8/13/2017,5
2017,8/20/2017,1
2017,8/27/2017,8
2017,9/3/2017,5
2017,9/10/2017,3
2017,9/17/2017,6
2017,9/24/2017,12
2017,10/1/2017,5
2017,10/8/2017,6
2017,10/15/2017,10
2017,10/22/2017,5
2017,10/29/2017,3
2017,11/5/2017,4
2017,11/12/2017,4
2017,11/19/2017,6
2017,11/26/2017,8
2017,12/3/2017,9
2017,12/10/2017,9
2017,12/17/2017,11
2017,12/24/2017,12
2018,1/1/2018,7
2018,1/8/2018,7
2018,1/15/2018,4
2018,1/22/2018,3
2018,1/29/2018,7
2018,2/5/2018,2
2018,2/12/2018,10
2018,2/19/2018,4
2018,2/26/2018,6
2018,3/5/2018,6
2018,3/12/2018,14
2018,3/19/2018,3
2018,3/26/2018,7
2018,4/2/2018,8
2018,4/9/2018,9
2018,4/16/2018,7
2018,4/23/2018,6
2018,4/30/2018,9
2018,5/7/2018,3
2018,5/14/2018,6
2018,5/21/2018,10
2018,5/28/2018,4
2018,6/4/2018,3
2018,6/11/2018,12
2018,6/18/2018,8
2018,6/25/2018,7
2018,7/2/2018,11
2018,7/9/2018,8
2018,7/16/2018,6
2018,7/23/2018,2
2018,7/30/2018,6
2018,8/6/2018,9
2018,8/13/2018,6
2018,8/20/2018,8
2018,8/27/2018,5
2018,9/3/2018,1
2018,9/10/2018,8
2018,9/17/2018,7
2018,9/24/2018,8
2018,10/1/2018,7
2018,10/8/2018,7
2018,10/15/2018,8
2018,10/22/2018,5
2018,10/29/2018,1
2018,11/5/2018,10
2018,11/12/2018,9
2018,11/19/2018,8
2018,11/26/2018,5
2018,12/3/2018,4
2018,12/10/2018,4
2018,12/17/2018,11
2018,12/24/2018,9
,,
,,
,,
,,
,,
