Year,Week Number,Count
2019,1/1/2019,5
2019,1/8/2019,2
2019,1/15/2019,12
2019,1/22/2019,15
2019,1/29/2019,9
2019,2/5/2019,11
2019,2/12/2019,8
2019,2/19/2019,7
2019,2/26/2019,6
2019,3/5/2019,9
2019,3/12/2019,4
2019,3/19/2019,7
2019,3/26/2019,9
2019,4/2/2019,8
2019,4/9/2019,3
2019,4/16/2019,13
2019,4/23/2019,6
2019,4/30/2019,6
2019,5/7/2019,6
2019,5/14/2019,8
2019,5/21/2019,15
2019,5/28/2019,6
2019,6/4/2019,12
2019,6/11/2019,12
2019,6/18/2019,6
2019,6/25/2019,4
2019,7/2/2019,14
2019,7/9/2019,11
2019,7/16/2019,10
2019,7/23/2019,9
2019,7/30/2019,9
2019,8/6/2019,12
2019,8/13/2019,6
2019,8/20/2019,4
2019,8/27/2019,12
2019,9/3/2019,13
2019,9/10/2019,10
2019,9/17/2019,10
2019,9/24/2019,7
2019,10/1/2019,12
2019,10/8/2019,13
2019,10/15/2019,10
2019,10/22/2019,8
2019,10/29/2019,10
2019,11/5/2019,8
2019,11/12/2019,7
2019,11/19/2019,10
2019,11/26/2019,17
2019,12/3/2019,4
2019,12/10/2019,14
2019,12/17/2019,7
2019,12/24/2019,10
2020,1/1/2020,11
2020,1/8/2020,11
2020,1/15/2020,12
2020,1/22/2020,10
2020,1/29/2020,12
2020,2/5/2020,6
2020,2/12/2020,7
2020,2/19/2020,10
2020,2/26/2020,10
2020,3/4/2020,11
2020,3/11/2020,15
2020,3/18/2020,17
2020,3/25/2020,14
2020,4/1/2020,13
2020,4/8/2020,16
2020,4/15/2020,10
2020,4/22/2020,14
2020,4/29/2020,13
2020,5/6/2020,11
2020,5/13/2020,18
2020,5/20/2020,14
2020,5/27/2020,6
2020,6/3/2020,19
2020,6/10/2020,12
2020,6/17/2020,17
2020,6/24/2020,14
2020,7/1/2020,11
2020,7/8/2020,15
2020,7/15/2020,8
2020,7/22/2020,18
2020,7/29/2020,15
2020,8/5/2020,11
2020,8/12/2020,5
2020,8/19/2020,13
2020,8/26/2020,9
2020,9/2/2020,8
2020,9/9/2020,12
2020,9/16/2020,14
2020,9/23/2020,16
2020,9/30/2020,10
2020,10/7/2020,17
2020,10/14/2020,12
2020,10/21/2020,9
2020,10/28/2020,5
2020,11/4/2020,15
2020,11/11/2020,19
2020,11/18/2020,15
2020,11/25/2020,7
2020,12/2/2020,9
2020,12/9/2020,7
2020,12/16/2020,8
2020,12/23/2020,10
2021,1/1/2021,8
2021,1/8/2021,11
2021,1/15/2021,17
2021,1/22/2021,17
2021,1/29/2021,12
2021,2/5/2021,21
2021,2/12/2021,9
2021,2/19/2021,5
2021,2/26/2021,8
2021,3/5/2021,19
2021,3/12/2021,9
2021,3/19/2021,14
2021,3/26/2021,7
2021,4/2/2021,16
2021,4/9/2021,13
2021,4/16/2021,24
2021,4/23/2021,22
2021,4/30/2021,13
2021,5/7/2021,14
2021,5/14/2021,17
2021,5/21/2021,12
2021,5/28/2021,15
2021,6/4/2021,19
2021,6/11/2021,15
2021,6/18/2021,1
2021,6/25/2021,8
2021,7/2/2021,9
2021,7/9/2021,9
2021,7/16/2021,14
2021,7/23/2021,10
2021,7/30/2021,18
2021,8/6/2021,13
2021,8/13/2021,15
2021,8/20/2021,9
2021,8/27/2021,18
2021,9/3/2021,14
2021,9/10/2021,13
2021,9/17/2021,18
2021,9/24/2021,14
2021,10/1/2021,17
2021,10/8/2021,21
2021,10/15/2021,16
2021,10/22/2021,16
2021,10/29/2021,16
2021,11/5/2021,18
2021,11/12/2021,15
2021,11/19/2021,11
2021,11/26/2021,14
2021,12/3/2021,15
2021,12/10/2021,8
2021,12/17/2021,7
2021,12/24/2021,11
2022,1/1/2022,6
2022,1/8/2022,11
2022,1/15/2022,13
2022,1/22/2022,11
2022,1/29/2022,14
2022,2/5/2022,17
2022,2/12/2022,13
2022,2/19/2022,15
2022,2/26/2022,19
2022,3/5/2022,17
2022,3/12/2022,15
2022,3/19/2022,20
2022,3/26/2022,13
2022,4/2/2022,7
2022,4/9/2022,14
2022,4/16/2022,16
2022,4/23/2022,11
2022,4/30/2022,15
2022,5/7/2022,15
2022,5/14/2022,11
2022,5/21/2022,13
2022,5/28/2022,8
2022,6/4/2022,9
2022,6/11/2022,16
2022,6/18/2022,9
2022,6/25/2022,10
2022,7/2/2022,11
2022,7/9/2022,8
2022,7/16/2022,10
2022,7/23/2022,19
2022,7/30/2022,16
2022,8/6/2022,9
2022,8/13/2022,8
2022,8/20/2022,8
2022,8/27/2022,14
2022,9/3/2022,18
2022,9/10/2022,13
2022,9/17/2022,12
2022,9/24/2022,18
2022,10/1/2022,15
2022,10/8/2022,12
2022,10/15/2022,14
2022,10/22/2022,21
2022,10/29/2022,14
2022,11/5/2022,14
2022,11/12/2022,13
2022,11/19/2022,8
2022,11/26/2022,20
2022,12/3/2022,20
2022,12/10/2022,18
2022,12/17/2022,21
2022,12/24/2022,15
2023,1/1/2023,23
2023,1/8/2023,10
2023,1/15/2023,8
2023,1/22/2023,20
2023,1/29/2023,14
2023,2/5/2023,15
2023,2/12/2023,14
2023,2/19/2023,6
2023,2/26/2023,15
2023,3/5/2023,19
2023,3/12/2023,6
2023,3/19/2023,13
2023,3/26/2023,11
2023,4/2/2023,16
2023,4/9/2023,14
2023,4/16/2023,18
2023,4/23/2023,17
2023,4/30/2023,10
2023,5/7/2023,12
2023,5/14/2023,8
2023,5/21/2023,11
2023,5/28/2023,22
2023,6/4/2023,17
2023,6/11/2023,14
2023,6/18/2023,8
2023,6/25/2023,16
2023,7/2/2023,15
2023,7/9/2023,12
2023,7/16/2023,11
2023,7/23/2023,10
2023,7/30/2023,15
2023,8/6/2023,12
2023,8/13/2023,12
2023,8/20/2023,17
2023,8/27/2023,20
2023,9/3/2023,17
2023,9/10/2023,17
2023,9/17/2023,21
2023,9/24/2023,5
2023,10/1/2023,12
2023,10/8/2023,18
2023,10/15/2023,14
2023,10/22/2023,12
2023,10/29/2023,18
2023,11/5/2023,13
2023,11/12/2023,9
2023,11/19/2023,12
2023,11/26/2023,11
2023,12/3/2023,12
2023,12/10/2023,13
2023,12/17/2023,16
2023,12/24/2023,9
2024,12/31/2023,10
2024,1/7/2024,17
2024,1/14/2024,9
2024,1/21/2024,17
2024,1/28/2024,12
2024,2/4/2024,12
2024,2/11/2024,15
2024,2/18/2024,9
2024,2/25/2024,6
2024,3/3/2024,10
2024,3/10/2024,4
2024,3/17/2024,8
2024,3/24/2024,11
2024,3/31/2024,14
2024,4/7/2024,5
2024,4/14/2024,14
2024,4/21/2024,12
2024,4/28/2024,9
2024,5/5/2024,9
2024,5/12/2024,8
2024,5/19/2024,15
2024,5/26/2024,8
2024,6/2/2024,13
2024,6/9/2024,16
2024,6/16/2024,7
2024,6/23/2024,9
2024,6/30/2024,10
2024,7/7/2024,10
2024,7/14/2024,10
2024,7/21/2024,11
2024,7/28/2024,11
2024,8/4/2024,8
2024,8/11/2024,9
2024,8/18/2024,10
2024,8/25/2024,12
2024,9/1/2024,11
2024,9/8/2024,8
2024,9/15/2024,8
2024,9/22/2024,3
2024,9/29/2024,7
2024,10/6/2024,14
2024,10/13/2024,6
2024,10/20/2024,12
2024,10/27/2024,6
2024,11/3/2024,8
2024,11/10/2024,12
2024,11/17/2024,11
2024,11/24/2024,7
2024,12/1/2024,11
2024,12/8/2024,8
2024,12/15/2024,5
2024,12/22/2024,7
